Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA09,55-016487,TRANSFORMER,30kVA,DCC_บ้านบางโทง,8.532264,98.710478,gis,ALA09WF-110,36,,
ALA09,58-006814,TRANSFORMER,30kVA,DCC_ม.6 ซอยวัดบ้านนา ต.เขาต่อ,8.618568,98.768144,gis,ALA09WF-141,31,,
ALA09,65-101521,TRANSFORMER,30kVA,ไฟทางหลวง ซ.วัดบางโทง,8.519554,98.725395,gis,ALA09WF-714,1,,
ALA09,59-010260,TRANSFORMER,30kVA,ประปา ซอยผู้ใหญ่ไมตรี ปลายซอย,8.558372,98.711519,gis,ALA09WF-120,1,,
ALA09,65-019990,TRANSFORMER,30kVA,ไฟทางหลวง แขวงพังงา จุด2,8.50251,98.697352,gis,ALA09WF-106,1,,
ALA09,58-108913,TRANSFORMER,250kVA,นายอำนวย เพ่งกิจ,8.541168,98.727399,gis,ALA09WF-117,1,,
ALA09,38-007901,TRANSFORMER,50kVA,DCC_,8.620363,98.757784,gis,ALA09WF-141,60,,
ALA09,40-022273,TRANSFORMER,30kVA,DCC_,8.550545,98.721866,gis,ALA09WF-120,39,,
ALA09,61-100280,TRANSFORMER,500kVA,บริษัท ตาปีแทรคเตอร์ จำกัด,8.65208,98.779649,gis,ALA09WF-719,,,
ALA09,49-013079,TRANSFORMER,30kVA,ประปาหมู่บ้านบางเท่าแม่ ม.1,8.581629,98.740645,gis,ALA09WF-130,1,,
ALA09,50-116951,TRANSFORMER,30kVA,ประปาซอยข้างโรงเรียนบางเจริญ,8.520186,98.725354,gis,65-101521,1,,
ALA09,58-010794,TRANSFORMER,30kVA,ปะปา บ้านนา ม.6,8.618354,98.758839,gis,ALA09WF-141,1,,
ALA09,60-005252,TRANSFORMER,50kVA,ไฟทางหลวง หน้าสยามโมเดิร์น ม.2 ต.นาเหนือ,8.515169,98.695173,gis,ALA09WF-709,1,,
ALA09,66-015938,TRANSFORMER,100kVA,บมจ.ซีพีออลล์ เซเว่นปั๊ม ปตทนาเหนือ,8.518912,98.701128,gis,66-112227,1,,
ALA09,36-013774,TRANSFORMER,100kVA,DCC_,8.507119,98.680327,gis,ALA09WF-706,67,,
ALA09,37-013235,TRANSFORMER,30kVA,DCC_,8.525686,98.718062,gis,ALA09WF-714,2,,
ALA09,66-021692,TRANSFORMER,50kVA,บ.โคกยอ,8.600226,98.74232,gis,ALA09WF-135,81,,
ALA09,35-008017,TRANSFORMER,100kVA,บ.บางเท่าแม่  ม.1  ต.เขาต่อ,8.585001,98.742039,gis,65-031911,78,,
ALA09,51-008600,TRANSFORMER,30kVA,ประปาหมู่บ้านซอยบางหินงาม ม.3,8.578456,98.728379,gis,ALA09WF-126,1,,
ALA09,60-038065,TRANSFORMER,50kVA,ปะปาบ้านบางหอยโขง,8.573523,98.731395,gis,ALA09WF-125,1,,
ALA09,61-113353,TRANSFORMER,160kVA,หจก.ภาคใต้คอนกรีต,8.457575,98.738051,gis,ALA09WF-102,,,
ALA09,51-008602,TRANSFORMER,30kVA,ไฟสาธารณะสำนักก่อสร้างทาง ที่3 จุด1,8.507432,98.676276,gis,36-013774,1,,
ALA09,65-031912,TRANSFORMER,30kVA,ไฟทางหลวง,8.590834,98.743072,gis,ALA09WF-134,1,,
ALA09,56-113952,TRANSFORMER,50kVA,วัดเขาต่อ ม.4 ต.เขาต่อ,8.572212,98.741682,gis,ALA09WF-127,1,,
