Feeder,TransformerID,RatedKVA,Phase,Location,CustomerType,Lat,Lon
ALA03,67-028406,30,4,สนง.ทรัพยากรน้ำที่10พลังงานแสงอาทิตย์ บ.น้ำซ่ำม.11,3.0,8.564001497,98.852144764
ALA07,66-014210,30,1,บ้านทุ่งทับควาย,1.0,8.432101952,98.797863715
ALA03,35-004790,160,7,DCC_DCC_หลังป้อมตำรวจปลายพระยา,1.0,8.531753222,98.863148594
ALA03,52-008825,50,7,DCC_บ้านควนสามัคคี,1.0,8.534675001,98.855097407
ALA06,63-008675,30,2,DCC_,1.0,8.42216658,98.698992785
ALA06,40-011456,30,2,DCC_,1.0,8.426953097,98.710160756
ALA06,40-013393,30,2,DCC_,1.0,8.404768052,98.68251466
ALA06,54-000692,30,2,DCC_,1.0,8.414092488,98.672424138
ALA06,49-008884,30,4,ประปาหมู่บ้านทุ่งคาดีกัน ม.2,4.0,8.449809096,98.703003676
ALA06,40-021938,30,4,DCC_,1.0,8.447890175,98.690581328
ALA07,59-010610,30,2,DCC_ม.2 บ้านหน้าถ้ำ,1.0,8.399670425,98.768718026
ALA07,40-002387,30,2,DCC_,1.0,8.407765931,98.780574542
ALA07,42-003428,30,1,DCC_,1.0,8.430660639,98.793661754
ALA03,52-110669,50,7,บริษัท อ่าวลึกแก๊ส จำกัด,2.0,8.43211272,98.775144247
ALA03,41-005258,30,1,DCC_,1.0,8.437490172,98.763126544
ALA09,51-118502,30,1,นายปริญญา ระวิวรรณ์ (ห้องพัก),2.0,8.454027886,98.739499533
ALA06,40-015663,30,2,DCC_,1.0,8.388206766,98.711455665
ALA01,38-007219,30,2,DCC_,1.0,8.334310349,98.743947637
ALA01,49-013081,30,4,DCC_,1.0,8.311667757,98.761404948
ALA01,50-111874,160,7,นายนิล ระมูลมอญ (ปั้มน้ำมัน),2.0,8.332032708,98.769446628
ALA06,57-004254,30,1,DCC_,1.0,8.39942964,98.731718789
ALA06,41-001373,50,7,DCC_,1.0,8.37677299,98.728537661
ALA07,29-017593,160,7,DCC_,1.0,8.396855647,98.746239288
ALA05,38-007235,30,2,สถานีโทรคมนาคมทหารเขาลังตัง,4.0,8.474043061,98.697483471
ALA01,44-002882,30,4,ไฟสาธารณะบ้านอ่าวลึกน้อย ต.บ้านกลาง (ถนนเพชรเกษม),4.0,8.298787296,98.7867729
ALA06,45-005082,50,7,เทศบาลตำบลแหลมสัก ม.3 ต.แหลมสัก,4.0,8.285230323,98.656570318
ALA06,45-115241,30,4,ดีแทค แหลมสัก,2.0,8.277049211,98.649490573
ALA02,51-009229,30,4,DCC_,1.0,8.345701262,98.793165142
ALA02,49-007637,30,4,บริษัท โทเทิ่ลแอ็ดเซ็สคอมมูนิเคชั่นฯ (บ.เขาง่าม),2.0,8.338916718,98.786772221
ALA06,40-018255,30,1,DCC_,1.0,8.31415589,98.669098083
ALA06,47-006159,30,1,DCC_,1.0,8.312404967,98.673384845
ALA06,57-004607,30,2,DCC_,1.0,8.364592701,98.647495012
ALA06,37-003616,30,2,DCC_,1.0,8.356839045,98.676138856
ALA06,49-008543,500,7,บริษัท โยควัฒน์ คอนสตรัคชั่น จำกัด(บังกะโล),2.0,8.361579231,98.638149749
ALA06,40-022016,30,2,DCC_,1.0,8.366506936,98.63952287
ALA06,49-118535,100,7,นายไพฑูรย์ กาวาฮาร่า (บ่อกุ้ง),2.0,8.355887855,98.686246954
ALA06,38-014763,30,1,DCC_,1.0,8.367941705,98.701872062
ALA06,58-117012,30,1,รีสอร์ท เมธา ซ่อนกลิ่น,2.0,8.395172086,98.738808547
ALA03,47-006145,30,4,DCC_,1.0,8.501814465,98.829463764
ALA03,49-013243,30,2,DCC_,1.0,8.497749068,98.835755042
ALA07,42-004248,30,4,DCC_,1.0,8.573344133,98.925385008
ALA07,49-012822,30,2,DCC_,1.0,8.493890964,98.8414657
ALA07,42-000723,30,1,DCC_,1.0,8.493701489,98.878220036
ALA07,40-023407,50,7,DCC_,1.0,8.502110347,98.860976472
ALA07,63-010316,30,4,DCC_,1.0,8.494803801,98.887502881
ALA07,38-014682,30,4,,4.0,8.483001213,98.894243915
ALA07,36-020074,30,4,DCC_,1.0,8.475803214,98.8961925
ALA07,42-000747,30,4,DCC_,1.0,8.475803293,98.85708024
ALA07,40-011418,30,4,DCC_,1.0,8.458280942,98.828414756
ALA03,44-006284,30,4,DCC_,1.0,8.565621252,98.86366013
ALA03,40-018116,30,4,DCC_,1.0,8.591789183,98.840778376
ALA03,57-001725,30,4,DCC_,1.0,8.491920504,98.758497745
ALA03,40-019670,30,2,DCC_,1.0,8.530055459,98.785885593
ALA09,65-019993,30,2,บ.นาเหนือ,1.0,8.484339065,98.723254637
ALA05,60-024309,100,7,น.ส.กชกร พวงทอง,1.0,8.457295474,98.737572425
ALA06,69-106592,100,7,CJ MORE สาขาอ่าวลึก,2.0,8.38160582,98.724513156
ALA03,67-016816,100,7,บริษัท อาร์ดี เกษตรพัฒนา จำกัด สาขาปลายพระยา,2.0,8.53952899,98.845358767
ALA06,67-016129,250,7,ม.1 ต.แหลมสัก อ.อ่าวลึก,1.0,8.360650582,98.640287791
ALA06,67-015872,160,7,ม.3 ค.แหลมสัก อ.อ่าวลึก,1.0,8.289262062,98.65448563
ALA09,48-007001,30,1,บริษัท กสท.โทรคมนาคม จำกัด(มหาชน)บ.เขาใหญ่,2.0,8.465626786,98.737476535
ALA09,42-003840,30,1,DCC_,1.0,8.467809028,98.744564008
ALA02,49-013484,30,2,DCC_,1.0,8.332077727,98.770008708
ALA02,24-013111,50,7,DCC_,1.0,8.303526456,98.782386584
ALA02,44-002881,30,4,ไฟสาธารณะบ้านอ่าวลึกน้อย ต.บ้านกลาง (ถนนเพชรเกษม),4.0,8.302518164,98.783503886
ALA06,33-006524,250,7,บริษัทกระบี่พารารับเบอร์ จำกัด,2.0,8.41198365,98.736424464
ALA06,40-013006,30,2,DCC_,1.0,8.368574425,98.729586782
ALA03,63-015825,30,2,รพ.สต.คลองยา,4.0,8.391595489,98.867701286
ALA07,61-108245,30,4,ฟาร์มไก่ นายถวิล  ผ่องศรี,2.0,8.458037839,98.809434543
ALA07,56-014881,30,4,DCC_บ้านโคกเจียก ม. 8 ต.ปลายพระยา,1.0,8.513981294,98.87836321
ALA03,33-002273,30,4,DCC_,1.0,8.659723143,98.820247726
ALA03,58-018458,30,4,ประปาบ้านถ้ำธนาคาร,4.0,8.616294502,98.818651534
ALA06,59-009969,30,1,DCC_บ้านควนวังทอง ม.4 ต.อ่าวลึกใต้,1.0,8.400582912,98.732554811
ALA07,56-016406,30,1,DCC_ซอยสหปาล์ม ม.6 บ้านบางเหียน,1.0,8.546486103,98.875258096
ALA02,60-109355,30,2,บ้านคลองหิน,1.0,8.305744615,98.819405402
ALA03,59-009977,30,1,DCC_บ้านห้วยปริศนา,1.0,8.425938954,98.754021066
ALA03,58-006358,30,2,DCC_บ้านทับเที่ยง,1.0,8.580172214,98.92638913
ALA01,59-107698,30,2,ไฟทางหลวง จุดที่ 7 บ้านในยวนแขก,4.0,8.367326657,98.748445865
ALA01,59-108023,30,2,ไฟทางหลวง ม.4 ต.คลองหิน,4.0,8.293795068,98.791022729
ALA01,59-108022,30,2,ไฟทางหลวง ม.3 ต.บ้านกลาง,4.0,8.323232031,98.772273736
ALA03,59-112676,30,4,ไฟทางหลวง หน้าอนามัยช่องแบก,4.0,8.504957572,98.772690195
ALA07,55-016488,30,1,ฟาร์มไก่ นายโสภน,2.0,8.431739689,98.790825202
ALA01,59-108021,30,2,ไฟทางหลวง ม.3 ต.บ้านกลาง,4.0,8.33318082,98.769269957
ALA06,38-007034,30,4,DCC_ม.2 บ้านเขาล่อม(หลังอนามัย),1.0,8.444326785,98.678023095
ALA06,58-006183,30,4,DCC_ม.2 บ้านเขาล่อม(หน้าอนามัย),1.0,8.44459866,98.684801745
ALA03,00-055891,30,4,DCC_ม.11 บ้านน้ำซ่ำ,1.0,8.562068811,98.861245145
ALA03,59-005644,30,2,DCC_ซ.ทุ่งหยา 1,1.0,8.57206239,98.79868853
ALA06,58-006347,30,4,ไฟสาธารณะ ช่องเขา ควนขนมจีน,4.0,8.373872952,98.740090604
ALA01,58-001957,100,7,DCC_บ้านอ่าวลึกน้อย,1.0,8.299969805,98.747361572
ALA07,56-011513,30,2,DCC_บ้านน้ำจานใต้,1.0,8.400238894,98.754286264
ALA07,52-006117,30,1,DCC_ตรงข้ามโรงเรียนห้วยปริศนา,1.0,8.423249682,98.763416481
ALA03,29-007669,50,7,นายสมชัย แซ่ตัน (ปั้มน้ำมัน),2.0,8.414506838,98.756277707
ALA01,33-004508,160,7,ธนาคารนครหลวงไทยฯ สาขาอ่าวลึก,2.0,8.398850672,98.742192492
ALA01,35-001279,100,7,ซุปเปอร์มาเก็ตนายป่วน,2.0,8.401592057,98.741699865
ALA03,54-011150,100,7,DCC_บ้านปากน้ำ,1.0,8.526224744,98.860817733
ALA03,52-010811,30,4,DCC_บ้านช่องแบก,1.0,8.505359239,98.773159783
ALA03,53-002189,30,2,DCC_ซ.เขายิงหมี บ.คลองพระยา ม.4,1.0,8.455614232,98.892035956
